common_voice_pt_34567100|Tapes
common_voice_pt_35160681|razoabilidade, a legalidade, a publicidade e a eficiência
common_voice_pt_35160682|nas conferências internacionais e pan-americanas
common_voice_pt_35160683|que requererá em juízo a medida solicitada.
common_voice_pt_35160684|cooperação jurídica internacional
common_voice_pt_35160685|minúsculas explorações agrícolas
common_voice_pt_35160687|É difícil de entender o que acontece, as coisas passam muito rápido.
common_voice_pt_35160688|Sebastião Barros
common_voice_pt_35202018|ideologicamente
common_voice_pt_35202019|Guerra nas Montanhas no Passado e no Presente
common_voice_pt_35202020|brutal ofensiva contra os interesses das classes trabalhadoras
common_voice_pt_35202021|generais traidores
common_voice_pt_35202022|Com o tempo e a palha, as meninas envelhecem.
common_voice_pt_35202051|Bom, agora tenho que ir.
common_voice_pt_35202052|Compete à autoridade judiciária brasileira processar e julgar as ações em que:
common_voice_pt_35202053|Uma Definição do Guerrilheiro Urbano
common_voice_pt_35202054|da linha comunista chinesa
common_voice_pt_35202055|será a proletarização cada vez maior das massas
common_voice_pt_35202061|Seja um Voluntário!
common_voice_pt_35202062|Varjão de Minas
common_voice_pt_35202063|das mais cínicas e estúpidas
common_voice_pt_35202064|Como Enfrentar os Problemas da Revolução Agrária e Anti-Imperialista
common_voice_pt_35202065|Não pense assim, embora!
common_voice_pt_35202071|os documentos anexos
common_voice_pt_35202072|lutar com êxito contra a burguesia
common_voice_pt_35202073|Alto Paraíso de Goiás
common_voice_pt_35202074|católico
common_voice_pt_35202075|companheiros
common_voice_pt_35202086|Estava coberto por isso.
common_voice_pt_35202087|Brodowski
common_voice_pt_35202088|Meu nome está nos jornais.
common_voice_pt_35202089|a expansão do cambio negro, da especulação, da usura
common_voice_pt_35202090|Pesa-me, realmente me pesa, como uma condenação a conhecer
common_voice_pt_35202100|Disposições Gerais
common_voice_pt_35202101|recebimento de renda ou obtenção de benefícios econômicos;
common_voice_pt_35202102|exército de reserva
common_voice_pt_35202103|e seguros, exploração de riquezas naturais, fábricas, usinas
common_voice_pt_35202104|A fruta cresce em rochas altas.
common_voice_pt_35202115|no Prefácio, são brilhantes
common_voice_pt_35202116|pleitear direito alheio em nome próprio, salvo
common_voice_pt_35202117|Santa Clara do Sul
common_voice_pt_35202118|em prazo razoável a solução integral do mérito, incluída a atividade satisfativa
common_voice_pt_35202119|pela desvalorização do cruzeiro
common_voice_pt_35202132|um quadro completo de, nossa realidade, como um sistema determinado
common_voice_pt_35202133|contratos com empresas multinacionais para obter novas tecnologias
common_voice_pt_35202139|o começo duma grande revolução
common_voice_pt_35202140|continuarem a receber as migalhas que o imperialismo norte-americano lhes lança da festa
common_voice_pt_35202146|lucros extraordinários
common_voice_pt_35202147|Vou assistir uma série com a família. Impeachment, o nome.
common_voice_pt_35202148|ir a África
common_voice_pt_35202149|Na ausência de normas que regulem processos eleitorais
common_voice_pt_35202150|Araioses
common_voice_pt_35202165|mostra o caminho histórico percorrido pelo ser humano
common_voice_pt_35202166|requerente assegurar a autenticidade e a clareza do pedido.
common_voice_pt_35202167|Sirinhaém
common_voice_pt_35202168|de tese jurídica firmada em julgamento de casos repetitivos;
common_voice_pt_35202169|A apatia é pior que o ódio
common_voice_pt_35202175|progressos medíocres
common_voice_pt_35202176|intimidação
common_voice_pt_35202177|Rio do Fogo
common_voice_pt_35202178|Instruções para os Delegados do Conselho Geral Provisório. As Diferentes Questões
common_voice_pt_35202179|A Real Causa pela qual os Proletários Franceses Mativeram-se Inativos no Último Dezembro
common_voice_pt_35202189|Do Auxílio Direto
common_voice_pt_35202190|o direito de greve está praticamente anulado com a sistemática prisão de grevistas
common_voice_pt_35202191|Depressa! Exclamou a frentista
common_voice_pt_35202192|Oeiras
common_voice_pt_35202193|Onde há galos, não há galinhas.
common_voice_pt_35202199|Um não pode ser mostrado sem desonra.
common_voice_pt_35202200|fraseologia
common_voice_pt_35202201|das reuniões sindicais, além da intervenção ministerial ou policial
common_voice_pt_35202202|Guerrilha Urbana, Escola para Selecionar o Guerrilheiro
common_voice_pt_35202203|governo Sarney
common_voice_pt_35202204|Jaciara
common_voice_pt_35202205|Itapecerica
common_voice_pt_35202206|velha guarda
common_voice_pt_35202207|Para San Juan, trigo no campo; para São Pedro, trigo na época.
common_voice_pt_35202208|decorrentes de relações de consumo, quando
common_voice_pt_35202209|antissocial
common_voice_pt_35202210|materialistas
common_voice_pt_35202211|chorar o retorno aqueles tempos de solidariedade, enquanto que a realidade exige a luta
common_voice_pt_35202212|colossais frases pretensiosas sobre os grandes ideais
common_voice_pt_35202213|servilismo
common_voice_pt_35202214|Mas no final... tudo caiu na família.
common_voice_pt_35202215|em matéria de sucessão hereditária, proceder à
common_voice_pt_35202216|fazer avançar realmente toda a massa
common_voice_pt_35202217|Galileia
common_voice_pt_35202218|Nunca discuta com pão e manteiga.
common_voice_pt_35202219|Com a ingenuidade que lhes é própria, estes senhores não querem compreender
common_voice_pt_35202220|Dormentes
common_voice_pt_35202221|Hehehe!
common_voice_pt_35202222|Olhos que não vêem, coração que não sente.
common_voice_pt_35202223|Santa Albertina
common_voice_pt_35202224|Nós vivemos e as coisas que veremos.
common_voice_pt_35202226|Vigésimo segundo capítulo. Transformação de mais-valia em capital
common_voice_pt_35202227|O que você fez com isso?
common_voice_pt_35202228|herança
common_voice_pt_35202229|à destruição do regime social baseado na opressão do trabalhador
common_voice_pt_35202230|o melhoramento, o apoio e o restabelecimento de sua economia
common_voice_pt_35202231|Estômago cheio, rumores vazios.
common_voice_pt_35202232|o poder legislativo federal, de diversos Estados e do Distrito Federal
common_voice_pt_35248769|o Brasil era um país cujas tarifas de importação figuravam entre as mais baixas
common_voice_pt_35248770|Pedreira
common_voice_pt_35248771|Rio Brilhante
common_voice_pt_35248772|Dossiê da lavanda
common_voice_pt_35248773|Nossa vida, no teu seio, mais amores
common_voice_pt_35248774|Mulheres e o mar, você deve saber enganá-los.
common_voice_pt_35248775|o julgamento de recursos repetitivos ou de
common_voice_pt_35248776|Santa Rosa da Serra
common_voice_pt_35248777|Faça bem e não olhe quem é.
common_voice_pt_35248778|Tambaú
common_voice_pt_35248779|Rio de Contas
common_voice_pt_35248781|Variações simultâneas na duração, força produtiva e intensidade do trabalho
common_voice_pt_35248782|competência internacional exclusiva
common_voice_pt_35248783|as preferências legais e as metas estabelecidas
common_voice_pt_35248784|Jornal do Comércio
common_voice_pt_35248785|os social-democratas aderem sem reservas
common_voice_pt_35248786|a publicidade processual
common_voice_pt_35248787|Expropriação do povo do campo da terra
common_voice_pt_35248788|Ibiporã
common_voice_pt_35248789|esclarecer o regime político-econômico desse sistema que o oprime
common_voice_pt_35248790|trabalhistas
common_voice_pt_35248791|Mortugaba
common_voice_pt_35248792|base militar norte-americana em nosso território
common_voice_pt_35248793|Cloud-Blue disse isso e ele sempre estava certo.
common_voice_pt_35248794|crescerá a social-democracia
common_voice_pt_35248795|Você poderia ter trazido eles lá!
common_voice_pt_35248796|Todos os julgamentos dos órgãos do Poder Judiciário serão públicos
common_voice_pt_35248797|tanto do idealista como do materialista
common_voice_pt_35248798|Terminou o vinho, fora do barril.
common_voice_pt_35248799|Chapada do Norte
common_voice_pt_35248800|uma guerra, não contra pessoas isoladas, e sim contra a classe
common_voice_pt_35248801|Terra Rica
common_voice_pt_35248802|Carta a Bebel
common_voice_pt_35248803|Argirita
common_voice_pt_35248804|Ela tem que ir.
common_voice_pt_35248805|No oeste, nem vento nem bom casamento.
common_voice_pt_35248806|pelo Conselho Nacional de Justiça;
common_voice_pt_35248807|Nazário
common_voice_pt_35248808|estadista
common_voice_pt_35248809|Serra Branca
common_voice_pt_35248810|Estrela de Alagoas
common_voice_pt_35248812|Bernardo Sayão
common_voice_pt_35248813|Veja você satisfeito!
common_voice_pt_35248814|São Sebastião do Rio Verde
common_voice_pt_35248815|Estatutos Gerais da Associação Internacional dos Trabalhadores
common_voice_pt_35248816|A senhora gosta de uma pessoa...
common_voice_pt_35248817|Adoro esse estilo de arquitetura.
common_voice_pt_35248818|cândido
common_voice_pt_35248819|vacilações
common_voice_pt_35248820|Florânia
common_voice_pt_35248821|Santiago
common_voice_pt_35248822|ainda que o titular seja de nacionalidade estrangeira
common_voice_pt_35248824|Santo Antônio do Aventureiro
common_voice_pt_35248825|a liberdade de imprensa está reduzida a farrapos
common_voice_pt_35248826|O amor é como um mês; quando cresce, já está chovendo.
common_voice_pt_35248827|Juventude Comunista
common_voice_pt_35248828|Os Resultados Eventuais da Dominação Britânica na India
common_voice_pt_35248834|Jaçanã
common_voice_pt_35248835|tiver sua sentença ou acórdão anulado
common_voice_pt_35248836|das dificuldades de transporte, da falta de crédito e suas consequências
common_voice_pt_35248837|Wall Ferraz
common_voice_pt_35248838|Quirinópolis
common_voice_pt_35248839|entrega a Nação à exploração total dos grandes bancos, trustes e monopólios
common_voice_pt_35248840|Discurso Diante do Tumulo de Karl Marx
common_voice_pt_35248841|Nesse sentido é bem elucidativo, para não falar nas cisões e recomposições do
common_voice_pt_35248842|Novo Oriente do Piauí
common_voice_pt_35248843|Estamos planejando uma visita ao Grand Canyon.
common_voice_pt_35248844|João Câmara
common_voice_pt_35248845|sacrificar seu democratismo e a aliar-se aos reacionários para reprimir os operários
common_voice_pt_35248846|crítica consciente das religiões
common_voice_pt_35248847|Não havia religião, ordem ou autoridade e... claro!
common_voice_pt_35248848|Nova Belém
common_voice_pt_37800921|intestino delgado, cinetose, cisto, fecal, ceco, fossa poplítea, mamário, lúteo, folicular, poplíteo
common_voice_pt_37800922|Canalize seu ódio para os responsáveis da situação, a burguesia é o alvo
common_voice_pt_37800923|estanho, antimônio, telúrio, iodo, xenônio, césio, bário, lutécio, háfnio, tântalo, tungstênio, rênio, ósmio, irídio
common_voice_pt_37800924|gambé, ganso, garfar, gato brabo, gelada, gererê, goma, gororóba, grampo, groselha, grude
common_voice_pt_37800925|juízos divisórios
common_voice_pt_37800931|Anarcocomunismo, comunitarismo
common_voice_pt_37800933|Sassânidas, Partas, Tauro, turcos, cruzada, oguzes, seljúcidas, uralo-altaica
common_voice_pt_37800934|prescrição
common_voice_pt_37800935|Médicos legistas e odontolegistas
common_voice_pt_37800936|Felipe Gasper
common_voice_pt_37800937|singular
common_voice_pt_37800938|Redução da jornada de trabalho para trinta horas, pauta da Sofia Manzano
common_voice_pt_37800940|Elias Jabbour
common_voice_pt_37800941|Richard Stallman
common_voice_pt_37800944|meridional, pirataria, pirateado, pirateada
common_voice_pt_37800945|xarope, xepa, xinfrim, michuruca, xumbrega, zebedeu, tapeado, zebra, sentenciado
common_voice_pt_38070353|Indústria Carboquímica Catarinense
common_voice_pt_38070354|angulado, articulado, passador, sugador, biópsia de pleura, prostático, apical, oliva, auxiliar
common_voice_pt_38070355|débito
common_voice_pt_38070356|ofícios
common_voice_pt_38070357|dura, jega, jeremias, jibóia, joão meia dúzia, juntar os pés, justa, lambedeira, lambrêgo, lança
common_voice_pt_38070369|Você nunca será rico, só aumentará a riqueza de quem está acima
common_voice_pt_38070370|Cessa
common_voice_pt_38070371|acidentes
common_voice_pt_38070413|O alto desemprego é útil para manter os salários baixos. Lute.
common_voice_pt_38070414|tolerante, salinidade, geneticista, alelos dominantes e recessivos, autopolinização, polinização cruzada
common_voice_pt_38070415|desobediência
common_voice_pt_38070416|Quando o povo se divide, os tubarões lhe devoram
common_voice_pt_38070417|extraída
common_voice_pt_38070418|prudente
common_voice_pt_38070419|Queremos que todos tenham o mínimo: saúde, segurança, educação, moradia
common_voice_pt_38070420|Capaticismo, capacitistas
common_voice_pt_38070421|tabelião
common_voice_pt_38070433|dependendo do polo em que se encontre.
common_voice_pt_38070436|habeas data, impetrada, retificação, acréscimo
